Category: All categories,,,,,,,,,,,,,,,,,,,,,,,,,
,Covid microchip,coronavirus microchip,covid infertility,coronavirus infertility,covid DNA alteration,coronavirus DNA alteration,covid Bill gates,coronavirus Bill gates,covid fire fauci,coronavirus fire fauci,covid fauci fraud,coronavirus fauci fraud,covid depopulation,coronavirus depopulation,covid population control,coronavirus population control,covid hidden agenda,coronavirus hidden agenda,covid hydroxychloroquine,coronavirus hydroxychloroquine,covid ivermectin,coronavirus ivermectin,covid miracle cure,coronavirus miracle cure,
Week,covid microchip: (California),coronavirus microchip: (California),covid infertility: (California),coronavirus infertility: (California),covid DNA alteration: (California),coronavirus DNA alteration: (California),covid Bill gates: (California),coronavirus Bill gates: (California),covid fire fauci: (California),coronavirus fire fauci: (California),covid fauci fraud: (California),coronavirus fauci fraud  (California),covid depopulation (California),coronavirus depopulation: (California),covid population control (California),coronavirus population control: (California),covid hidden agenda: (California),coronavirus hidden agenda: (California),covid hydroxychloroquine: (California),coronavirus hydroxychloroquine: (California),covid  ivermectin: (California),coronavirus ivermectin: (California),covid miracle cure: (California),coronavirus miracle cure: (California),
12/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,100,0,0,11,49,0,0,0,0,0,0,0,0,86,0,0,0,4,0,0,0,0
3/15/2020,0,57,0,95,0,0,41,74,0,0,0,0,0,0,0,0,100,0,0,21,77,0,0,0,0
3/22/2020,0,100,0,0,0,0,69,100,0,0,0,0,0,0,0,0,56,0,0,23,88,0,0,0,0
3/29/2020,0,53,0,0,0,0,58,59,0,0,0,0,0,0,0,0,70,0,0,23,67,3,24,0,0
4/5/2020,0,79,0,0,0,0,100,73,0,0,0,0,0,0,0,88,41,0,0,34,100,15,100,0,0
4/12/2020,0,75,0,0,0,0,76,53,0,100,0,0,0,0,0,0,0,0,0,13,40,3,62,0,0
4/19/2020,0,50,0,0,0,0,64,36,0,0,0,0,0,0,0,0,38,0,0,13,41,2,29,0,0
4/26/2020,0,0,0,0,0,0,51,26,0,0,0,0,0,0,0,0,0,0,0,6,16,2,0,0,0
5/3/2020,0,0,0,0,0,0,57,30,0,0,0,0,0,0,0,0,0,100,100,8,16,0,15,0,0
5/10/2020,8,0,0,0,0,0,44,16,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0
5/17/2020,0,0,0,0,0,0,32,16,0,0,0,0,0,0,0,0,0,0,0,22,38,0,15,0,0
5/24/2020,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,5,11,0,25,0,0
5/31/2020,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,5,6,0,13,0,0
6/7/2020,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,83,0,0,0,5,3,0,19,0,0
6/14/2020,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0
6/21/2020,0,0,20,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,17,0,0
6/28/2020,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,8,9,3,26,0,0
7/5/2020,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,9,15,2,0,0,0
7/12/2020,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0
7/19/2020,0,0,29,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
7/26/2020,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,0,0,100,33,3,0,0,0
8/2/2020,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,24,9,2,0,0,0
8/9/2020,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0
8/16/2020,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0
8/23/2020,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,15,0,0
8/30/2020,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
9/6/2020,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9/13/2020,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9/20/2020,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
9/27/2020,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0
10/4/2020,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10/11/2020,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
10/18/2020,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10/25/2020,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11/1/2020,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/8/2020,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11/15/2020,9,0,24,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
11/22/2020,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11/29/2020,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
12/6/2020,0,0,100,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,20,0,0
12/13/2020,11,0,92,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,17,0,0
12/20/2020,0,0,44,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0
12/27/2020,0,0,61,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0
1/3/2021,0,0,55,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,0
1/10/2021,0,0,52,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,31,0,0,0
1/17/2021,0,0,67,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0,0,0
1/24/2021,0,0,45,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0
1/31/2021,0,0,45,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0
2/7/2021,0,0,31,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0
2/14/2021,0,0,55,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0
2/21/2021,0,0,67,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
2/28/2021,0,0,53,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3/7/2021,0,0,52,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0
3/14/2021,0,0,63,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0
3/21/2021,0,0,66,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3/28/2021,0,0,75,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0
4/4/2021,0,0,89,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
4/11/2021,60,0,75,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0
4/18/2021,11,0,52,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
4/25/2021,0,0,65,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
5/2/2021,0,0,62,0,0,0,72,5,0,0,0,0,0,0,0,76,0,0,0,0,0,8,0,0,0
5/9/2021,0,0,82,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0
5/16/2021,8,0,61,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5/23/2021,0,0,53,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
5/30/2021,0,0,25,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0
6/6/2021,0,0,53,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0
6/13/2021,0,0,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0
6/20/2021,0,0,34,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0
6/27/2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0
7/4/2021,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0
7/11/2021,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0
7/18/2021,0,0,34,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,0,0
7/25/2021,0,0,61,0,0,0,15,0,0,0,0,0,100,0,0,0,0,0,0,4,0,35,17,0,0
8/1/2021,0,0,61,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,44,22,0,0
8/8/2021,100,0,67,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,61,0,0,0
8/15/2021,18,0,49,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,77,0,0,0
8/22/2021,0,0,43,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,40,0,0
8/29/2021,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,6,0,96,39,0,0
9/5/2021,0,0,33,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,72,0,0,0
9/12/2021,13,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45,0,0,0
9/19/2021,0,0,45,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,0,0,0
9/26/2021,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0
10/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0
10/10/2021,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0
10/17/2021,0,0,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
10/24/2021,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0
10/31/2021,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0
11/7/2021,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0
11/14/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0
11/21/2021,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0
11/28/2021,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0
12/5/2021,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0
12/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0
12/19/2021,30,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,0,0,0
12/26/2021,0,0,22,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,0,0,0
1/2/2022,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,49,0,0,0
1/9/2022,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,41,0,0,0
1/16/2022,0,0,21,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,32,0,0,0
1/23/2022,0,0,18,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0
1/30/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0
2/6/2022,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,2,0,15,0,0,0
2/13/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
2/20/2022,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2/27/2022,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3/6/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3/13/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,3,0,0,0
3/27/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
4/3/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
4/10/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
4/17/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
4/24/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
5/1/2022,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5/8/2022,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
5/15/2022,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
5/22/2022,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
